,Title,Rating,Runtime,IMDB_Score,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,Primetime_x,Release Date,Budget,DomesticGross,WorldwideGross
64,Behind Enemy Lines,3.0,115.0,7.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58856790,2844.0,18736133,2770.0,1.0,2001-11-30,40000000,58855732,58855732
65,The Perfect Storm,4.0,118.0,7.3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,182618434,3407.0,41325042,3407.0,1.0,2000-06-30,120000000,182618434,328711434
66,The Exorcism of Emily Rose,3.0,104.0,6.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,75072454,3045.0,30054300,2981.0,0.0,2005-09-09,18000000,75072454,144529078
67,Bernie,3.0,95.0,6.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9206470,332.0,85805,3.0,0.0,2012-04-27,6000000,9204489,10106975
68,Philomena,3.0,102.0,7.6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,37709979,1225.0,128435,4.0,1.0,2013-11-22,12000000,37709979,98963392
69,Rescue Dawn,3.0,121.0,7.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5490423,505.0,110326,6.0,1.0,2007-07-04,10000000,5484375,7031838
70,The Bank Job,3.0,83.0,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30060660,1613.0,5935256,1603.0,0.0,2008-03-07,20000000,30060660,66143005
71,The Informant!,2.0,115.0,7.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,33316821,2505.0,10464314,2505.0,0.0,2009-09-18,22000000,33316821,41771168
72,Agora,3.0,115.0,6.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,619423,17.0,33262,2.0,1.0,2010-05-28,70000000,619423,38992292
73,World Trade Center,4.0,123.0,7.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70278893,3021.0,18730762,2957.0,0.0,2006-08-09,65000000,70278893,163295654
74,The Girl Next Door,3.0,133.0,8.1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,14589444,2148.0,6003806,2148.0,0.0,2004-04-09,25000000,14589444,31635150
75,Green Zone,2.0,120.0,7.3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,35053660,3004.0,14309295,3003.0,0.0,2010-03-12,100000000,35053660,97079343
76,K-19: The Widowmaker,4.0,86.0,6.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35168966,2830.0,12778459,2828.0,1.0,2002-07-19,90000000,35168966,65716126
77,Julie & Julia,3.0,99.0,5.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,94125426,2528.0,20027956,2354.0,0.0,2009-08-07,40000000,94125426,126646119
78,Charlie Wilson's War,2.0,124.0,7.1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,66661095,2594.0,9656250,2575.0,1.0,2007-12-21,75000000,66661095,119512771
79,Boys Don't Cry,3.0,127.0,7.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11540607,365.0,73720,2.0,0.0,1999-10-08,2000000,11540607,20741000
80,Act of Valor,3.0,120.0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70012847,3053.0,24476632,3039.0,0.0,2012-02-24,12000000,70012847,82497035
81,Freedom Writers,4.0,165.0,8.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36605602,2286.0,9405582,1360.0,0.0,2007-01-05,21000000,36605602,43632609
82,The Bridge on the River Kwai,3.0,121.0,5.6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,27200000,,0,,1.0,1957-12-18,3000000,33300000,33300000
