,Title,Rating,Runtime,IMDB_Score,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,Primetime_x,Release Date,Budget,DomesticGross,WorldwideGross
115,Shattered Glass,2.0,120.0,7.5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2220008,215.0,77540,8.0,0.0,2003-10-31,6000000,2207975,3456602
116,Hidalgo,2.0,80.0,8.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,67303450,3065.0,18829435,3063.0,0.0,2004-03-05,78000000,67286731,107336658
117,Gridiron Gang,4.0,115.0,6.4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,38432823,3510.0,14414630,3504.0,0.0,2006-09-15,30000000,38432823,41457834
118,Flyboys,2.0,109.0,6.9,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13090630,2033.0,6004219,2033.0,0.0,2006-09-22,60000000,13090630,14816379
119,Safe,2.0,109.0,7.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,512245,16.0,15830,1.0,1.0,2012-04-27,33000000,17142080,41495213
120,An American Haunting,4.0,94.0,7.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16298046,1703.0,5783508,1675.0,1.0,2006-05-05,14000000,16298046,30443277
121,Radio,3.0,114.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52333738,3074.0,13303724,3074.0,0.0,2003-10-24,35000000,52333738,53293628
122,Made in Dagenham,3.0,118.0,7.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1095369,89.0,37563,3.0,1.0,2010-11-19,8000000,1095369,15644196
123,In the Valley of Elah,3.0,121.0,7.2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6777741,978.0,133557,9.0,0.0,2007-09-14,23000000,6777741,24489150
124,Find Me Guilty,1.0,225.0,6.6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1173643,439.0,608804,439.0,0.0,2006-03-17,13000000,1173673,2898225
125,White Squall,3.0,119.0,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10292300,1524.0,3908514,1524.0,0.0,1996-02-02,38000000,10229300,10229300
126,Rabbit-Proof Fence,3.0,142.0,6.6,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,6199600,153.0,88352,9.0,1.0,2002-11-29,7000000,6199600,16866928
127,Taking Woodstock,2.0,94.0,7.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7460204,1395.0,3457760,1393.0,0.0,2009-08-26,29000000,7460204,10066366
128,A Civil Action,3.0,107.0,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,56709981,2319.0,70079,2.0,1.0,1998-12-25,60000000,56702901,56702901
129,Party Monster,4.0,94.0,5.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,742898,13.0,15163,1.0,0.0,2003-08-29,5000000,742898,894030
130,Shadow of the Vampire,3.0,120.0,6.7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,8293784,513.0,150171,6.0,1.0,2000-12-29,8000000,8279017,8279017
131,Get Low,4.0,131.0,7.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9176933,570.0,88182,4.0,1.0,2010-07-30,7000000,9176933,9696933
